what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1492007523862
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1492007525946
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492007562465
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1492007569532
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492007572363
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492007572499
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492007574557
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007575669
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007577077
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007579382
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007608397
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007608469
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007608504
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492007615889
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007631702
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007665951
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492007683451
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007684637
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007684795
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492007694195
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492007694354
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492007696954
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492007698074
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007699173
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007701172
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007702900
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007735413
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492007735532
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1492007756263
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1492007756729
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1492007758120
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1492007759272
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1492007766568
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1492007771095
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1492007771279
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1492007771439
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1492007771591
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1492007771847
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1492007772703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492007775045
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492007775192
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492007780644
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492007780792
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492007784862
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007786397
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007790995
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007792291
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007810692
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007810763
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007810818
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492007812505
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1492007822218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007823778
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007842152
error,log,,,"Error processing help request jar:file:/C:/Program Files (x86)/ArcGIS/DeveloperKit10.0//java/docs/eclipse/plugins/com.esri.arcgis.doc/doc.zip!/api/arcobjects/com/esri/arcgis/geometry/bitmaps/GeomGeneralize.gif",1492007877847
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007884641
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007886480
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1492007904227
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492007911936
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492008142013
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1492008151766
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492008156276
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492008197329
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1492008222866
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1492008223703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1492008223891
