what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491939967844
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491939972012
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491939972025
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491939977179
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1491939979873
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1491940038455
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1491940045768
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1491940046607
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1491940048402
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1491940050411
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1491940051315
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1491940051475
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1491940054947
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1491940055134
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1491940057307
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1491940057673
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940058719
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940061694
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940062878
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940095608
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940095686
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940095723
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940100124
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940100982
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1491940102403
started,bundle,org.eclipse.help.webapp,3.4.1.v20091009_35x,"org.eclipse.help.webapp",1491940110781
error,log,,,"Error processing help request jar:file:/C:/Program Files (x86)/ArcGIS/DeveloperKit10.0//java/docs/eclipse/plugins/com.esri.arcgis.doc/doc.zip!/api/arcobjects/com/esri/arcgis/geometry/bitmaps/GeomPolygons.gif",1491940110799
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940247249
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940315830
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940319928
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940394720
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1491940398165
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1491940400909
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1491940405524
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1491940413045
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940414471
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491940414685
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1491940419539
