what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1490205916891
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1490205916891
java.specification.name,sysinfo,,,"Java Platform API Specification",1490205916891
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490205916891
java.specification.version,sysinfo,,,"1.6",1490205916891
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1490205916892
java.version,sysinfo,,,"1.6.0_25",1490205916892
java.vm.info,sysinfo,,,"mixed mode, sharing",1490205916892
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1490205916892
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1490205916892
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490205916892
java.vm.specification.version,sysinfo,,,"1.0",1490205916892
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1490205916892
java.vm.version,sysinfo,,,"20.0-b11",1490205916892
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1490205917916
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490205918785
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1490205922843
activated,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1490205926412
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1490205926438
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1490205928445
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1490205928452
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490205929627
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490205931891
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490205932940
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1490205935804
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490205937681
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1490205961564
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1490205961908
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1490205974820
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1490205974839
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206015799
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206017977
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206029437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206032585
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206043926
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206046281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206067445
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206069832
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206076557
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206080665
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206110226
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490206111800
