what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492000413156
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492000414006
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000416179
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000425815
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000427700
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000436487
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492000439724
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492000469202
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492000469368
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492000489735
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000490692
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000495910
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000497531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000502989
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492000504971
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000563717
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000599214
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1492000623334
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1492000644005
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492000648590
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492000648727
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1492000653614
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492000654865
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492000655012
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492000664345
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000665380
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000668095
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000669480
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000673371
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492000675770
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492000682525
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492000682677
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492000684285
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000685409
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000688305
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000689887
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000693355
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492000695162
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492000700318
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492000700466
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492000702746
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000703854
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000706681
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000707934
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492000712905
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492000714752
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492000714810
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492000715322
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492000726299
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492000726429
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492000730522
