what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836007741
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1491836008315
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1491836009055
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1491836016519
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836017812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836018245
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1491836020680
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836024948
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836187011
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836188001
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836189515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836189530
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836191231
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1491836191340
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1491836191714
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1491836191730
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1491836191777
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1491836191792
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1491836191792
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1491836191792
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1491836191823
stopped,bundle,org.eclipse.ve.java.core,1.5.0.R20101202-1328,"org.eclipse.ve.java.core",1491836191855
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1491836191855
stopped,bundle,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins",1491836191886
stopped,bundle,com.esri.arcgis.core.lib,10.0.0.2414,"com.esri.arcgis.core.lib",1491836191886
stopped,bundle,com.esri.arcgis.core.matrix,10.0.0.2414,"com.esri.arcgis.core.matrix",1491836191901
stopped,bundle,com.esri.arcgis.core.ws,10.0.0.2414,"com.esri.arcgis.core.ws",1491836191948
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1491836192011
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1491836192011
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1491913838737
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1491913838738
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1491913838767
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1491913838794
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1491913838822
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1491913838858
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1491913838923
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1491913838958
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1491913838981
