what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1491566749983
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1491566750006
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1491566750015
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1491566750043
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1491566750091
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1491566750104
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1491566750147
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1491566750147
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1491566750213
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1491566750227
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1491566750237
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1491566750257
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1491566750269
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1491566750287
started,bundle,com.esri.arcgis.core,10.0.0.2414,"com.esri.arcgis.core",1491566750300
started,bundle,com.esri.arcgis.core.lib,10.0.0.2414,"com.esri.arcgis.core.lib",1491566750301
os,sysinfo,,,"win32",1491566750303
arch,sysinfo,,,"x86",1491566750303
ws,sysinfo,,,"win32",1491566750303
locale,sysinfo,,,"pt_BR",1491566750303
processors,sysinfo,,,"4",1491566750303
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1491566750303
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1491566750303
java.specification.name,sysinfo,,,"Java Platform API Specification",1491566750303
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1491566750303
java.specification.version,sysinfo,,,"1.6",1491566750303
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1491566750303
java.version,sysinfo,,,"1.6.0_25",1491566750303
java.vm.info,sysinfo,,,"mixed mode, sharing",1491566750303
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1491566750303
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1491566750303
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1491566750303
java.vm.specification.version,sysinfo,,,"1.0",1491566750303
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1491566750303
java.vm.version,sysinfo,,,"20.0-b11",1491566750303
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1491566750386
