what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492009011388
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492009012995
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492009013152
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492009015724
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492009015870
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1492009027480
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492009034935
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492009035084
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492009038124
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492009171752
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492009205799
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492009234019
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492011280782
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492011282836
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492013112347
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492013116841
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492013141542
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492013153289
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492013153462
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492013174114
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492013213134
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492013213286
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492013216836
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492013218773
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492013221624
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492013223238
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492013274743
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492013276192
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1492013292876
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1492013293075
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1492013293283
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1492013293483
