what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1490124789073
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1490124789073
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1490124789073
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1490124789073
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1490124789073
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1490124789073
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1490124789074
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1490124789074
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1490124789074
started,bundle,com.esri.arcgis.core,10.0.0.2414,"com.esri.arcgis.core",1490124789074
os,sysinfo,,,"win32",1490124789076
arch,sysinfo,,,"x86",1490124789076
ws,sysinfo,,,"win32",1490124789076
locale,sysinfo,,,"pt_BR",1490124789076
processors,sysinfo,,,"4",1490124789076
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1490124789076
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1490124789076
java.specification.name,sysinfo,,,"Java Platform API Specification",1490124789076
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490124789076
java.specification.version,sysinfo,,,"1.6",1490124789076
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1490124789076
java.version,sysinfo,,,"1.6.0_25",1490124789076
java.vm.info,sysinfo,,,"mixed mode, sharing",1490124789076
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1490124789076
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1490124789076
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490124789076
java.vm.specification.version,sysinfo,,,"1.0",1490124789076
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1490124789077
java.vm.version,sysinfo,,,"20.0-b11",1490124789077
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490124826315
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1490124830089
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1490124830090
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.101.R35x_20100105,"org.eclipse.equinox.p2.updatesite",1490124830130
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1490124830236
error,log,,,"Unable to load the repository http://download.eclipse.org/tools/mylyn/update/e3.4/",1490124835457
