what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015898549
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015898637
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015898685
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492015900356
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015906108
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015919213
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492015927060
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492015927229
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492015928379
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015929384
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015933530
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015934978
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015974329
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015974397
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492015974442
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492015975687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492016010101
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492016010249
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492016012362
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016013507
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016013673
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492016016231
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492016016381
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492016018669
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016019693
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016074200
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016095247
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016153664
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492016155288
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016174830
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016221476
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016229725
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016255442
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1492016257511
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1492016257680
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1492016259193
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016260144
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016262382
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016263749
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016266594
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016266671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016266708
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016267620
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016312678
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1492016314158
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492016316084
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492017282773
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492017286785
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492017324257
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492017348733
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492017836299
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492017838044
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492017839181
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492017839327
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1492017839658
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1492017839686
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1492017839928
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1492017839928
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1492017839928
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1492017839928
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1492017839969
stopped,bundle,org.eclipse.ve.java.core,1.5.0.R20101202-1328,"org.eclipse.ve.java.core",1492017839996
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1492017839996
stopped,bundle,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins",1492017839996
stopped,bundle,com.esri.arcgis.core.lib,10.0.0.2414,"com.esri.arcgis.core.lib",1492017839996
stopped,bundle,com.esri.arcgis.core.matrix,10.0.0.2414,"com.esri.arcgis.core.matrix",1492017840012
stopped,bundle,com.esri.arcgis.core.ws,10.0.0.2414,"com.esri.arcgis.core.ws",1492017840038
